base_x#,base_y#...,*,gen_x#,gen_y#...,*,gen,antialiasing,fancy_pen,all_gen,approx,approx_bbox_gen,approx_max_gen,approx_max_vert,adjust_scale,width,height,,,,,,,,
0,0,1,0,*,0,0,50,8.92055224432733,50,-8.92055224432733,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,10.6268404793906,50,-10.6268404793906,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,12.2911894300232,50,-12.2911894300232,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,13.9070306712859,50,-13.9070306712859,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,15.467987216007,50,-15.467987216007,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,16.9678986818377,50,-16.9678986818377,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,18.4008456034666,50,-18.4008456034666,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,19.7611727940455,50,-19.7611727940455,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,21.0435116636273,50,-21.0435116636273,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,22.2428014065387,50,-22.2428014065387,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,23.354308974068,50,-23.354308974068,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,24.3736477536454,50,-24.3736477536454,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,25.2967948807996,50,-25.2967948807996,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,26.1201071155656,50,-26.1201071155656,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,26.8403352206883,50,-26.8403352206883,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,27.4546367848777,50,-27.4546367848777,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,27.9605874405077,50,-27.9605874405077,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,28.3561904314873,50,-28.3561904314873,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,28.6398844935449,50,-28.6398844935449,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,28.8105500158252,50,-28.8105500158252,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,28.8675134594813,50,-28.8675134594813,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,28.8105500158252,50,-28.8105500158252,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,28.639884493545,50,-28.639884493545,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,28.3561904314873,50,-28.3561904314873,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,27.9605874405077,50,-27.9605874405077,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,27.4546367848778,50,-27.4546367848778,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,26.8403352206883,50,-26.8403352206883,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,26.1201071155656,50,-26.1201071155656,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,25.2967948807996,50,-25.2967948807996,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,24.3736477536454,50,-24.3736477536454,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,23.354308974068,50,-23.354308974068,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,22.2428014065387,50,-22.2428014065387,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,21.0435116636273,50,-21.0435116636273,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,19.7611727940455,50,-19.7611727940455,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,18.4008456034667,50,-18.4008456034667,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,16.9678986818377,50,-16.9678986818377,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,15.4679872160071,50,-15.4679872160071,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,13.907030671286,50,-13.907030671286,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,12.2911894300233,50,-12.2911894300233,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,10.6268404793907,50,-10.6268404793907,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,8.92055224432745,50,-8.92055224432745,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,7.17905866496854,50,-7.17905866496854,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,5.40923262085893,50,-5.40923262085893,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,3.61805880683811,50,-3.61805880683811,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,1.81260616764053,50,-1.81260616764053,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
